,districtName,districtCity,lat,lon,name,gradeLevels,rating,percentLowIncome,enrollment,parentRating,numReviews,Asian,African American,Hispanic,White,Two or more races,American Indian/Alaska Native,studentsPerTeacher,Pacific Islander
431,Wythe County Public Schools,Wytheville,36.895218,-81.268936,Rural Retreat Middle School,6-8,7.0,47%,250,1,3,,1.0,2.0,97.0,,,14.0,
432,Hanover County Public Schools,Ashland,37.688381,-77.384758,Hanover High School,9-12,7.0,9%,1379,5,12,2.0,9.0,3.0,82.0,3.0,,12.0,
433,Loudoun County Public Schools,Broadlands,39.089405,-77.488518,Belmont Ridge Middle School,6-8,7.0,8%,1271,3,43,20.0,9.0,10.0,55.0,6.0,,15.0,
434,Fauquier County Public Schools,Warrenton,38.737572,-77.715698,Auburn Middle School,6-8,7.0,12%,544,5,9,2.0,3.0,8.0,83.0,3.0,,13.0,
435,Prince William County Public Schools,Manassas,38.769085,-77.616325,Glenkirk Elementary School,PK-5,7.0,6%,774,4,34,11.0,9.0,12.0,60.0,8.0,,18.0,
436,Hanover County Public Schools,Ashland,37.691147,-77.389259,Kersey Creek Elementary School,PK-5,7.0,11%,725,4,15,,11.0,3.0,81.0,5.0,,14.0,
437,Stafford County Public Schools,Stafford,38.459747,-77.494484,Margaret Brent Elementary School,PK-5,7.0,19%,905,4,40,2.0,10.0,12.0,65.0,10.0,,18.0,
438,Loudoun County Public Schools,Broadlands,39.056171,-77.502876,Newton-Lee Elementary School,PK-5,7.0,8%,755,4,128,34.0,5.0,7.0,47.0,6.0,,16.0,
439,Loudoun County Public Schools,Broadlands,38.9133,-77.555992,Pinebrook Elementary School,PK-5,7.0,10%,992,4,50,35.0,12.0,9.0,38.0,5.0,1.0,20.0,
440,Stafford County Public Schools,Stafford,38.458714,-77.49762,Mountain View High School,9-12,7.0,16%,1773,4,37,3.0,13.0,14.0,63.0,7.0,,16.0,1.0
441,Russell County Public Schools,Lebanon,36.900299,-82.083603,Lebanon Middle School,5-7,7.0,51%,367,5,9,,1.0,2.0,97.0,,,16.0,
442,Loudoun County Public Schools,Broadlands,38.925999,-77.547302,Mercer Middle School,6-8,7.0,8%,1878,4,86,37.0,9.0,9.0,39.0,6.0,,14.0,
443,Loudoun County Public Schools,Broadlands,38.977566,-77.502846,Rosa Lee Carter Elementary School,PK-5,7.0,8%,955,4,83,61.0,6.0,6.0,20.0,5.0,1.0,16.0,
444,Williamsburg-James City Public Schools,Williamsburg,37.275997,-76.81739,Matoaka Elementary School,K-5,7.0,20%,754,5,18,4.0,10.0,11.0,69.0,6.0,,18.0,
445,Chesterfield County Public Schools,Chesterfield,37.337627,-77.341057,Elizabeth Scott Elementary School,PK-5,7.0,50%,1026,5,52,4.0,18.0,37.0,35.0,5.0,,15.0,1.0
446,Chesterfield County Public Schools,Chesterfield,37.46629,-77.670395,Tomahawk Creek Middle School,6-8,7.0,11%,1505,3,108,5.0,11.0,5.0,76.0,4.0,,17.0,
447,Loudoun County Public Schools,Broadlands,38.91288,-77.537415,Liberty Elementary School,PK-5,7.0,10%,1063,5,27,45.0,7.0,7.0,35.0,5.0,1.0,20.0,
448,Rockingham County Public Schools,Harrisonburg,38.399609,-78.654427,East Rockingham High School,9-12,7.0,36%,704,4,4,1.0,3.0,6.0,87.0,4.0,,14.0,
449,Hampton City Public Schools,Hampton,37.052517,-76.428688,George P Phenix Elementary School,PK-8,7.0,38%,1436,3,42,2.0,56.0,9.0,22.0,11.0,,14.0,
450,Grayson County Public Schools,Independence,36.651363,-81.407173,Grayson Highlands School,PK-7,7.0,68%,146,5,2,,,2.0,97.0,1.0,,12.0,
451,Henrico County Public Schools,Richmond,37.666233,-77.533691,Glen Allen High School,9-12,7.0,16%,1778,4,18,12.0,17.0,5.0,61.0,5.0,,18.0,
452,Prince William County Public Schools,Manassas,38.846329,-77.662086,Ronald Wilson Reagan Middle School,6-8,7.0,9%,1390,3,29,12.0,11.0,13.0,57.0,6.0,,19.0,
453,Fairfax County Public Schools,Falls Church,38.723953,-77.244072,South County Middle School,7-8,7.0,20%,1072,3,46,19.0,20.0,16.0,40.0,6.0,,15.0,
454,Loudoun County Public Schools,Broadlands,39.018959,-77.477913,Discovery Elementary,PK-5,6.0,17%,870,3,89,33.0,10.0,12.0,38.0,7.0,1.0,16.0,
455,Loudoun County Public Schools,Broadlands,38.895504,-77.516899,Cardinal Ridge Elementary,PK-5,6.0,9%,977,4,36,51.0,6.0,7.0,30.0,4.0,2.0,16.0,
456,Dickenson County Public Schools,Clintwood,37.133446,-82.389114,Ridgeview Middle School,6-8,6.0,65%,490,0,0,1.0,1.0,1.0,97.0,1.0,,12.0,
457,Prince William County Public Schools,Manassas,38.774448,-77.571091,Chris Yung Elementary,PK-5,6.0,40%,670,5,5,10.0,17.0,32.0,33.0,7.0,,,
458,Prince William County Public Schools,Manassas,38.653851,-77.440437,Charles J. Colgan Sr. High School,9-11,6.0,18%,1428,5,97,7.0,18.0,18.0,49.0,7.0,,,
459,Loudoun County Public Schools,Broadlands,38.97908,-77.551765,Brambleton Middle School,Ungraded,6.0,?,1119,5,14,31.0,6.0,6.0,49.0,7.0,,,
460,Warren County Public Schools,Front Royal,38.927559,-78.153191,New Warren County Middle School,Ungraded,6.0,?,593,0,0,2.0,2.0,8.0,82.0,5.0,1.0,,
461,Albemarle County Public Schools,Charlottesville,38.053005,-78.704277,Brownsville Elementary School,PK-5,6.0,12%,767,4,27,5.0,2.0,5.0,83.0,5.0,,14.0,
462,Albemarle County Public Schools,Charlottesville,38.112782,-78.439224,Hollymead Elementary School,PK-5,6.0,14%,468,4,7,17.0,4.0,7.0,64.0,7.0,1.0,13.0,
463,Albemarle County Public Schools,Charlottesville,38.05209,-78.705414,Joseph T Henley Middle School,6-8,6.0,11%,863,4,23,3.0,2.0,4.0,87.0,3.0,,14.0,
464,Alexandria City Public Schools,Alexandria,38.817543,-77.111374,Patrick Henry Elementary School,PK-5,6.0,76%,675,4,122,8.0,47.0,31.0,12.0,2.0,,10.0,
465,Amherst County Public Schools,Amherst,37.587917,-79.045555,Amherst Elementary School,PK-5,6.0,42%,291,0,0,,16.0,4.0,69.0,9.0,2.0,16.0,
466,Amherst County Public Schools,Amherst,37.513779,-79.195412,Elon Elementary School,PK-5,6.0,37%,315,5,2,1.0,8.0,6.0,79.0,5.0,1.0,14.0,
467,Appomattox County Public Schools,Appomattox,37.355721,-78.825157,Appomattox Middle School,6-8,6.0,46%,483,0,0,,20.0,2.0,70.0,8.0,,13.0,
468,Arlington County Public Schools,Arlington,38.872837,-77.136337,Ashlawn Elementary School,PK-5,6.0,18%,689,4,36,12.0,4.0,17.0,56.0,9.0,1.0,13.0,
469,Arlington County Public Schools,Arlington,38.875065,-77.089088,Long Branch Elementary School,PK-5,6.0,33%,635,5,28,11.0,11.0,24.0,44.0,9.0,,13.0,
470,Arlington County Public Schools,Arlington,38.883171,-77.138969,Swanson Middle School,6-8,6.0,12%,1305,5,26,8.0,4.0,15.0,66.0,7.0,,13.0,
471,Arlington County Public Schools,Arlington,38.902683,-77.140068,Yorktown High School,9-12,6.0,13%,2190,3,68,8.0,6.0,16.0,65.0,6.0,,15.0,
472,Augusta County Public Schools,Verona,38.194118,-79.218063,Buffalo Gap High School,9-12,6.0,35%,487,4,6,,1.0,1.0,97.0,1.0,,12.0,
473,Augusta County Public Schools,Verona,38.247246,-78.973244,Ft Defiance High School,9-12,6.0,31%,787,3,38,1.0,1.0,7.0,88.0,3.0,,13.0,
474,Augusta County Public Schools,Verona,38.051521,-79.014954,Stuarts Draft Middle School,6-8,6.0,42%,563,2,1,1.0,2.0,5.0,86.0,4.0,,12.0,1.0
475,Augusta County Public Schools,Verona,38.122402,-78.985695,Wilson Memorial High School,9-12,6.0,29%,762,2,25,1.0,4.0,5.0,85.0,4.0,,13.0,
476,Augusta County Public Schools,Verona,38.243874,-78.976624,S Gordon Stewart Middle School,6-8,6.0,38%,531,3,8,1.0,2.0,8.0,88.0,1.0,,13.0,
477,Bath County Public Schools,Warm Springs,38.033394,-79.795174,Bath County High School,8-12,6.0,39%,208,5,8,,3.0,1.0,90.0,5.0,,10.0,
478,Bedford County Public Schools,Bedford,37.452789,-79.260887,Boonsboro Elementary School,K-5,6.0,24%,303,3,24,2.0,9.0,6.0,76.0,7.0,,9.0,
479,Bedford County Public Schools,Bedford,37.163773,-79.47197,Huddleston Elementary School,PK-5,6.0,54%,285,0,0,,9.0,5.0,81.0,5.0,,10.0,
480,Bedford County Public Schools,Bedford,37.190929,-79.612274,Moneta Elementary School,PK-5,6.0,55%,243,5,14,2.0,9.0,1.0,82.0,6.0,,13.0,
481,Bedford County Public Schools,Bedford,37.364666,-79.43351,Otter River Elementary School,PK-5,6.0,31%,224,3,40,,8.0,4.0,83.0,4.0,,14.0,
482,Bedford County Public Schools,Bedford,37.271214,-79.790398,Stewartsville Elementary School,PK-5,6.0,68%,347,5,6,,2.0,6.0,90.0,2.0,,14.0,
483,Bedford County Public Schools,Bedford,37.369282,-79.310059,Forest Middle School,6-8,6.0,17%,947,4,16,3.0,6.0,4.0,82.0,4.0,,18.0,
484,Botetourt County Public Schools,Fincastle,37.441406,-79.847832,Troutville Elementary School,PK-5,6.0,34%,261,5,8,2.0,2.0,3.0,90.0,4.0,,11.0,
485,Botetourt County Public Schools,Fincastle,37.357876,-79.902901,Read Mountain Middle School,6-8,6.0,26%,722,4,3,1.0,3.0,6.0,86.0,4.0,,13.0,
486,Bristol City Public Schools,Bristol,36.606964,-82.16407,Highland View Elementary School,PK-5,6.0,98%,175,0,0,,16.0,1.0,74.0,9.0,,12.0,
487,Chesapeake Public Schools,Chesapeake,36.789715,-76.417114,Jolliff Middle School,6-8,6.0,32%,700,4,22,2.0,41.0,7.0,43.0,6.0,,14.0,
488,Campbell County Public Schools,Rustburg,37.345753,-79.235527,Brookville High School,9-12,6.0,27%,925,4,8,3.0,12.0,3.0,77.0,5.0,,14.0,
489,Campbell County Public Schools,Rustburg,37.345505,-79.239655,Brookville Middle School,6-8,6.0,38%,727,3,2,2.0,8.0,5.0,77.0,7.0,1.0,13.0,
490,Campbell County Public Schools,Rustburg,37.327702,-79.218666,Leesville Road Elementary School,PK-5,6.0,43%,661,4,14,2.0,10.0,12.0,69.0,7.0,1.0,15.0,
491,Carroll County Public Schools,Hillsville,36.687336,-80.60984,Gladesboro Elementary School,PK-5,6.0,62%,128,5,2,,,5.0,93.0,2.0,,10.0,
492,Carroll County Public Schools,Hillsville,36.699516,-80.878365,Gladeville Elementary School,PK-5,6.0,65%,299,4,1,,,11.0,85.0,3.0,,12.0,
493,Carroll County Public Schools,Hillsville,36.797153,-80.851768,Laurel Elementary School,PK-5,6.0,62%,224,5,7,,1.0,4.0,95.0,,,13.0,
494,Carroll County Public Schools,Hillsville,36.642673,-80.837669,Oakland Elementary School,PK-5,6.0,68%,194,5,10,,2.0,16.0,81.0,1.0,,11.0,
495,Carroll County Public Schools,Hillsville,36.768681,-80.739021,Woodlawn School,6-8,6.0,59%,821,1,1,,1.0,8.0,89.0,1.0,,13.0,
496,Charlotte County Public Schools,Charlotte Court House,37.052502,-78.645462,Central Middle School,6-8,6.0,58%,452,4,3,1.0,31.0,2.0,62.0,5.0,,14.0,
497,Charlottesville Cty Public Schools,Charlottesville,38.052357,-78.475906,Charlottesville High School,9-12,6.0,48%,1172,3,13,7.0,32.0,11.0,46.0,5.0,,13.0,
498,Chesapeake Public Schools,Chesapeake,36.778336,-76.348778,Camelot Elementary School,PK-5,6.0,72%,551,4,12,1.0,66.0,11.0,12.0,10.0,,15.0,1.0
499,Chesapeake Public Schools,Chesapeake,36.801182,-76.23587,Indian River Middle School,6-8,6.0,60%,765,4,23,1.0,55.0,10.0,28.0,6.0,1.0,11.0,
500,Chesapeake Public Schools,Chesapeake,36.815598,-76.253883,Thurgood Marshall Elementary School,PK-5,6.0,87%,552,3,9,,88.0,2.0,6.0,3.0,,12.0,
501,Chesapeake Public Schools,Chesapeake,36.8503,-76.403427,Western Branch Middle School,6-8,6.0,31%,874,3,55,5.0,38.0,5.0,43.0,8.0,,13.0,
502,Chesterfield County Public Schools,Chesterfield,37.491337,-77.546196,A M Davis Elementary School,PK-5,6.0,63%,701,5,41,4.0,35.0,27.0,27.0,7.0,,14.0,
503,Chesterfield County Public Schools,Chesterfield,37.425404,-77.46949,Beulah Elementary School,PK-5,6.0,63%,733,4,34,2.0,47.0,29.0,17.0,4.0,,12.0,
504,Chesterfield County Public Schools,Chesterfield,37.360973,-77.433655,C E Curtis Elementary School,PK-5,6.0,43%,696,4,32,2.0,28.0,7.0,57.0,6.0,,17.0,
505,Chesterfield County Public Schools,Chesterfield,37.448154,-77.64019,Clover Hill High School,9-12,6.0,20%,1877,4,27,6.0,22.0,9.0,56.0,6.0,,17.0,
506,Chesterfield County Public Schools,Chesterfield,37.388618,-77.766228,Grange Hall Elementary School,PK-5,6.0,13%,795,5,28,2.0,8.0,6.0,81.0,3.0,,18.0,
507,Chesterfield County Public Schools,Chesterfield,37.518784,-77.591805,Greenfield Elementary School,PK-5,6.0,27%,582,4,19,8.0,15.0,8.0,63.0,5.0,,16.0,
508,Chesterfield County Public Schools,Chesterfield,37.529686,-77.613327,Robious Middle School,6-8,6.0,24%,1327,3,64,5.0,11.0,10.0,69.0,5.0,,16.0,
509,Chesterfield County Public Schools,Chesterfield,37.439892,-77.645103,Swift Creek Middle School,6-8,6.0,20%,986,4,49,4.0,17.0,9.0,64.0,6.0,,15.0,
510,Chesterfield County Public Schools,Chesterfield,37.420574,-77.673897,Clover Hill Elementary School,PK-5,6.0,18%,758,4,52,4.0,14.0,6.0,70.0,7.0,,18.0,
511,Chesterfield County Public Schools,Chesterfield,37.434837,-77.553253,Jacobs Road Elementary School,PK-5,6.0,47%,761,3,81,3.0,32.0,16.0,42.0,6.0,,17.0,
512,Colonial Heights City Public Schools,Colonial Heights,37.281372,-77.369827,Tussing Elementary School,PK-5,6.0,52%,583,5,15,3.0,13.0,7.0,69.0,8.0,,13.0,
513,Dinwiddie County Public Schools,Dinwiddie,37.080807,-77.581909,Dinwiddie Elementary School,K-5,6.0,51%,346,5,5,1.0,29.0,1.0,64.0,6.0,,13.0,
514,Dinwiddie County Public Schools,Dinwiddie,37.188557,-77.543518,Sutherland Elementary School,K-5,6.0,59%,520,4,3,,47.0,6.0,39.0,8.0,,15.0,
515,Fairfax County Public Schools,Falls Church,38.85767,-77.454956,Stone Middle School,7-8,6.0,29%,768,4,33,13.0,8.0,29.0,45.0,4.0,,13.0,
516,Fairfax County Public Schools,Falls Church,38.859924,-77.286133,Fairfax High School,9-12,6.0,22%,2373,4,26,22.0,9.0,23.0,40.0,5.0,,14.0,
517,Fairfax County Public Schools,Falls Church,38.79763,-77.324219,Fairview Elementary School,PK-6,6.0,8%,683,4,33,8.0,6.0,12.0,67.0,8.0,,14.0,
518,Fairfax County Public Schools,Falls Church,38.876301,-77.405373,Greenbriar West Elementary School,PK-6,6.0,11%,888,4,69,52.0,4.0,10.0,28.0,5.0,,16.0,
519,Fairfax County Public Schools,Falls Church,38.684837,-77.209709,Gunston Elementary School,PK-6,6.0,36%,505,5,10,12.0,30.0,22.0,30.0,7.0,,13.0,
520,Fairfax County Public Schools,Falls Church,38.748833,-77.140694,Hayfield Elementary School,PK-6,6.0,15%,753,4,110,6.0,20.0,13.0,52.0,9.0,,16.0,
521,Fairfax County Public Schools,Falls Church,38.814182,-77.295647,Laurel Ridge Elementary School,PK-6,6.0,7%,850,4,19,11.0,5.0,18.0,59.0,7.0,,13.0,
522,Fairfax County Public Schools,Falls Church,38.90395,-77.195068,Lemon Road Elementary School,PK-6,6.0,18%,616,4,49,37.0,4.0,21.0,31.0,7.0,,13.0,
523,Fairfax County Public Schools,Falls Church,38.826096,-77.267036,Little Run Elementary School,PK-6,6.0,31%,357,4,35,26.0,5.0,23.0,41.0,6.0,,11.0,
524,Fairfax County Public Schools,Falls Church,38.898472,-77.277962,Louise Archer Elementary School,PK-6,6.0,12%,641,4,47,23.0,1.0,15.0,54.0,7.0,,18.0,
525,Fairfax County Public Schools,Falls Church,38.868191,-77.229324,Jackson Middle School,7-8,6.0,40%,1464,4,38,25.0,8.0,36.0,26.0,5.0,,13.0,
526,Fairfax County Public Schools,Falls Church,38.89595,-77.279129,Madison High School,9-12,6.0,10%,2235,4,57,15.0,2.0,13.0,63.0,7.0,,15.0,
527,Fairfax County Public Schools,Falls Church,38.765949,-77.255432,Orange Hunt Elementary School,PK-6,6.0,6%,942,4,66,7.0,7.0,11.0,67.0,7.0,,16.0,
528,Fairfax County Public Schools,Falls Church,38.728371,-77.069084,Stratford Landing Elementary School,PK-6,6.0,23%,784,3,72,3.0,21.0,12.0,55.0,7.0,,17.0,
529,Fairfax County Public Schools,Falls Church,38.888557,-77.239571,Thoreau Middle School,7-8,6.0,8%,945,5,24,12.0,2.0,12.0,66.0,8.0,,14.0,
530,Fairfax County Public Schools,Falls Church,38.790684,-77.113937,Twain Middle School,7-8,6.0,33%,1025,4,24,14.0,18.0,32.0,30.0,6.0,,12.0,
531,Fairfax County Public Schools,Falls Church,38.979736,-77.337967,Aldrin Elementary School,PK-6,6.0,15%,731,4,54,20.0,5.0,16.0,52.0,8.0,,14.0,
532,Fairfax County Public Schools,Falls Church,38.760525,-77.156891,Lane Elementary School,PK-6,6.0,20%,790,5,117,14.0,21.0,17.0,42.0,5.0,,12.0,1.0
533,Fairfax County Public Schools,Falls Church,38.803837,-77.23468,Kings Glen Elementary School,4-6,6.0,25%,495,3,24,20.0,8.0,26.0,37.0,9.0,,12.0,
534,Fairfax County Public Schools,Falls Church,38.782684,-77.270882,White Oaks Elementary School,PK-6,6.0,18%,877,4,52,23.0,10.0,19.0,40.0,9.0,,17.0,
535,Fairfax County Public Schools,Falls Church,38.767994,-77.284454,Cherry Run Elementary School,PK-6,6.0,3%,427,4,41,10.0,5.0,7.0,73.0,6.0,,12.0,
536,Fairfax County Public Schools,Falls Church,38.820484,-77.417603,Union Mill Elementary School,PK-6,6.0,12%,959,4,28,17.0,4.0,11.0,59.0,7.0,,15.0,
537,Fairfax County Public Schools,Falls Church,38.86573,-77.458557,Cub Run Elementary School,PK-6,6.0,18%,571,4,23,15.0,5.0,15.0,56.0,9.0,,12.0,
538,Fairfax County Public Schools,Falls Church,38.890411,-77.411148,Lees Corner Elementary School,PK-6,6.0,14%,779,4,52,32.0,4.0,11.0,45.0,7.0,,13.0,
539,Fairfax County Public Schools,Falls Church,38.825043,-77.411072,Centreville High School,9-12,6.0,25%,2602,4,37,32.0,9.0,19.0,35.0,5.0,,15.0,
540,Fairfax County Public Schools,Falls Church,38.728951,-77.269386,Silverbrook Elementary School,PK-6,6.0,9%,832,4,31,15.0,7.0,9.0,61.0,8.0,,15.0,
541,Fairfax County Public Schools,Falls Church,38.803974,-77.30999,Bonnie Brae Elementary School,PK-6,6.0,18%,791,4,59,15.0,7.0,20.0,50.0,7.0,1.0,14.0,
542,Falls Church City Public Schools,Falls Church,38.896599,-77.191704,Mary Ellen Henderson Middle School,6-8,6.0,0%,588,3,28,7.0,3.0,16.0,65.0,9.0,,11.0,
543,Falls Church City Public Schools,Falls Church,38.883385,-77.183655,Thomas Jefferson Elementary School,2-5,6.0,8%,824,5,47,6.0,3.0,14.0,63.0,13.0,,14.0,
544,Fauquier County Public Schools,Warrenton,38.719543,-77.814293,Fauquier High School,9-12,6.0,17%,1318,4,12,3.0,8.0,14.0,69.0,4.0,,11.0,
545,Fauquier County Public Schools,Warrenton,38.736797,-77.760155,P.B. Smith Elementary School,PK-5,6.0,10%,340,5,21,3.0,4.0,8.0,78.0,6.0,,15.0,
546,Fauquier County Public Schools,Warrenton,38.716122,-77.803223,Warrenton Middle School,6-8,6.0,15%,439,3,11,3.0,9.0,11.0,74.0,4.0,,12.0,
547,Fauquier County Public Schools,Warrenton,38.585976,-77.761024,Grace Miller Elementary School,PK-5,6.0,36%,484,3,15,3.0,12.0,20.0,55.0,9.0,,14.0,
548,Fauquier County Public Schools,Warrenton,38.759815,-77.694878,C. Hunter Ritchie Elementary School,PK-5,6.0,14%,476,5,36,2.0,2.0,12.0,79.0,5.0,,13.0,
549,Floyd County Public Schools,Floyd,36.909348,-80.30925,Floyd County High School,8-12,6.0,43%,840,2,3,1.0,1.0,3.0,91.0,3.0,,16.0,
550,Fluvanna County Public Schools,Palmyra,37.872326,-78.298683,Fluvanna County High School,8-12,6.0,31%,1444,3,18,1.0,16.0,5.0,74.0,5.0,,14.0,
551,Franklin County Public Schools,Rocky Mount,37.079159,-79.750053,Dudley Elementary School,PK-5,6.0,45%,281,5,5,,4.0,3.0,87.0,5.0,1.0,11.0,
552,Franklin County Public Schools,Rocky Mount,37.014748,-79.896057,Gereau Center For Apl Tech&Career Expl,2,6.0,48%,306,5,3,,6.0,6.0,83.0,5.0,,11.0,
553,Franklin County Public Schools,Rocky Mount,37.017818,-79.88488,Ben. Franklin Middle-West,7-8,6.0,48%,761,1,13,1.0,7.0,8.0,77.0,7.0,,14.0,
554,Frederick County Public Schools,Winchester,39.074924,-78.192879,Sherando High School,9-12,6.0,22%,1511,4,21,1.0,5.0,13.0,76.0,5.0,,13.0,
555,Frederick County Public Schools,Winchester,39.21413,-78.183105,James Wood High School,9-12,6.0,23%,1316,3,19,1.0,2.0,6.0,89.0,2.0,,13.0,
556,Galax City Public Schools,Galax,36.6586,-80.92511,Galax Elementary School,PK-4,6.0,70%,578,5,2,1.0,5.0,33.0,58.0,3.0,1.0,14.0,
557,Giles County Public Schools,Pearisburg,37.313782,-80.580208,Eastern Elementary/Middle School,PK-7,6.0,47%,446,4,1,,1.0,1.0,95.0,3.0,,13.0,
558,Gloucester County Public Schools,Gloucester,37.278294,-76.44194,Achilles Elementary School,PK-5,6.0,45%,418,4,19,,5.0,5.0,83.0,7.0,,14.0,
559,Gloucester County Public Schools,Gloucester,37.382084,-76.525726,Gloucester High School,9-12,6.0,31%,1762,3,22,1.0,8.0,4.0,81.0,5.0,,16.0,
560,Gloucester County Public Schools,Gloucester,37.413334,-76.6063,Peasley Middle School,6-8,6.0,35%,623,2,22,,7.0,5.0,82.0,5.0,,12.0,
561,Goochland County Public Schools,Goochland,37.757145,-78.057838,Byrd Elementary School,PK-5,6.0,52%,346,5,17,,22.0,6.0,66.0,5.0,,10.0,
562,Grayson County Public Schools,Independence,36.621338,-81.14682,Independence Middle School,6-8,6.0,67%,249,0,2,,3.0,8.0,88.0,2.0,,13.0,
563,Halifax County Public Schools,Halifax,36.836723,-79.043915,Meadville Elementary School,PK-5,6.0,89%,171,0,0,1.0,31.0,2.0,58.0,9.0,,6.0,
564,Hanover County Public Schools,Ashland,37.664459,-77.410019,Atlee High School,9-12,6.0,7%,1602,4,33,3.0,7.0,2.0,84.0,2.0,,16.0,
565,Hanover County Public Schools,Ashland,37.62619,-77.29641,Battlefield Park Elementary School,PK-5,6.0,14%,468,5,3,2.0,5.0,3.0,84.0,6.0,,13.0,
566,Hanover County Public Schools,Ashland,37.933243,-77.642288,Beaverdam Elementary School,PK-5,6.0,27%,329,5,6,,5.0,4.0,86.0,4.0,,12.0,
567,Hanover County Public Schools,Ashland,37.611008,-77.378716,Mechanicsville Elementary School,PK-5,6.0,51%,641,4,7,3.0,17.0,6.0,66.0,8.0,,13.0,
568,Hanover County Public Schools,Ashland,37.645649,-77.383911,Washington-Henry Elementary School,PK-5,6.0,19%,414,5,17,3.0,7.0,4.0,81.0,5.0,,14.0,
569,Henrico County Public Schools,Richmond,37.624779,-77.482368,Moody Middle School,6-8,6.0,25%,1037,4,53,30.0,15.0,6.0,44.0,5.0,,17.0,
570,Henrico County Public Schools,Richmond,37.62376,-77.559792,Davis Elementary School,PK-5,6.0,30%,550,4,28,25.0,15.0,7.0,47.0,6.0,,15.0,
571,Henrico County Public Schools,Richmond,37.607826,-77.560738,Tuckahoe Middle School,6-8,6.0,28%,1150,3,66,6.0,10.0,11.0,69.0,5.0,,16.0,
572,Henry County Public Schools,Martinsville,36.684967,-79.779411,Laurel Park Middle School,6-8,6.0,85%,777,2,24,1.0,27.0,13.0,52.0,6.0,,15.0,
573,Henry County Public Schools,Martinsville,36.737198,-79.940048,Stanleytown Elementary School,PK-5,6.0,85%,300,5,9,,19.0,12.0,62.0,7.0,,14.0,
574,King And Queen County Public Schools,King and Queen Court House,37.613773,-76.782768,King & Queen Elementary School,PK-7,6.0,54%,306,4,13,,30.0,7.0,57.0,6.0,,16.0,
575,King And Queen County Public Schools,King and Queen Court House,37.823853,-77.062035,Lawson-Marriott Elementary School,PK-7,6.0,57%,316,4,8,1.0,41.0,3.0,46.0,9.0,1.0,13.0,
576,King Geo County Public Schools,King George,38.276363,-77.198296,King George High School,9-12,6.0,28%,1300,4,17,1.0,19.0,6.0,67.0,6.0,,14.0,
577,King Geo County Public Schools,King George,38.336086,-77.052757,Potomac Elementary School,K-6,6.0,33%,718,4,19,2.0,17.0,8.0,62.0,11.0,1.0,16.0,
578,Lee County Public Schools,Jonesville,36.780975,-82.942513,Dryden Elementary School,PK-5,6.0,80%,319,4,3,,1.0,1.0,98.0,1.0,,19.0,
579,Lee County Public Schools,Jonesville,36.684235,-83.123688,Jonesville Middle School,6-8,6.0,91%,210,4,2,,,,98.0,1.0,,9.0,
580,Lexington City Public Schools,Lexington,37.786007,-79.433907,Lylburn Downing Middle School,6-8,6.0,23%,202,3,5,4.0,10.0,7.0,79.0,,,15.0,
581,Loudoun County Public Schools,Broadlands,39.002274,-77.788101,Banneker Elementary School,PK-5,6.0,38%,160,4,42,1.0,6.0,24.0,67.0,2.0,,14.0,
582,Loudoun County Public Schools,Broadlands,39.110435,-77.580681,Loudoun County High School,9-12,6.0,16%,1505,4,16,7.0,5.0,19.0,64.0,4.0,,15.0,
583,Loudoun County Public Schools,Broadlands,39.265564,-77.640343,Lovettsville Elementary School,PK-5,6.0,10%,544,5,12,2.0,2.0,8.0,80.0,8.0,,14.0,
584,Loudoun County Public Schools,Broadlands,39.213642,-77.53344,Lucketts Elementary School,PK-5,6.0,16%,304,4,6,5.0,6.0,19.0,62.0,8.0,,14.0,
585,Loudoun County Public Schools,Broadlands,39.037735,-77.473091,Farmwell Station Middle School,6-8,6.0,18%,1158,3,43,24.0,11.0,14.0,46.0,5.0,1.0,14.0,
586,Loudoun County Public Schools,Broadlands,39.123028,-77.535202,Ball's Bluff Elementary School,PK-5,6.0,22%,628,4,17,8.0,9.0,23.0,52.0,6.0,1.0,15.0,1.0
587,Loudoun County Public Schools,Broadlands,39.037796,-77.510445,Sanders Corner Elementary School,PK-5,6.0,12%,565,3,100,13.0,7.0,11.0,60.0,8.0,,17.0,
588,Loudoun County Public Schools,Broadlands,39.05196,-77.390388,Potomac Falls High School,9-12,6.0,22%,1665,3,54,13.0,9.0,22.0,51.0,5.0,,14.0,
589,Loudoun County Public Schools,Broadlands,39.036316,-77.371292,Meadowland Elementary School,PK-5,6.0,46%,426,4,41,15.0,4.0,42.0,33.0,6.0,,13.0,
590,Louisa County Public Schools,Mineral,38.018867,-77.918648,Louisa County High School,9-12,6.0,40%,1468,4,27,1.0,18.0,5.0,70.0,6.0,,12.0,
591,Louisa County Public Schools,Mineral,37.89978,-77.844383,Jouett Elementary School,PK-5,6.0,45%,583,4,22,,8.0,3.0,83.0,5.0,1.0,13.0,
592,Madison County Public Schools,Madison,38.363575,-78.268074,Madison County High School,9-12,6.0,38%,542,3,2,1.0,9.0,4.0,82.0,5.0,,13.0,
593,Mecklenburg County Public Schools,Boydton,36.689285,-78.197067,Park View Middle School,6-8,6.0,60%,602,4,9,1.0,41.0,6.0,49.0,3.0,,13.0,
