,districtName,districtCity,lat,lon,name,gradeLevels,rating,percentLowIncome,enrollment,parentRating,numReviews,Asian,African American,Hispanic,White,Two or more races,American Indian/Alaska Native,studentsPerTeacher,Pacific Islander
60,Patrick County Public Schools,Stuart,36.641621,-80.276093,Stuart Elementary School,PK-7,9.0,53%,406,5,1,,6.0,8.0,81.0,4.0,,15.0,
61,Pittsylvania County Public Schools,Chatham,37.093361,-79.297211,John L. Hurt Elementary School,PK-5,9.0,71%,272,0,0,,22.0,,71.0,7.0,,15.0,
62,Pittsylvania County Public Schools,Chatham,36.68808,-79.37336,Southside Elementary School,PK-5,9.0,65%,462,0,0,,32.0,4.0,59.0,5.0,,14.0,
63,Pittsylvania County Public Schools,Chatham,36.769905,-79.544846,Union Hall Elementary School,PK-5,9.0,66%,233,0,0,,25.0,5.0,68.0,3.0,,12.0,
64,Prince George County Public Schools,Prince George,37.224701,-77.28492,L.L. Beazley Elementary School,PK-5,9.0,50%,606,4,38,1.0,43.0,14.0,33.0,8.0,,16.0,
65,Prince William County Public Schools,Manassas,38.653137,-77.345039,Minnieville Elementary School,PK-5,9.0,71%,510,4,7,9.0,28.0,51.0,9.0,3.0,,14.0,
66,Prince William County Public Schools,Manassas,38.673855,-77.368156,Sonnie Penn Elementary School,PK-5,9.0,37%,876,4,42,14.0,25.0,26.0,27.0,9.0,,18.0,
67,Richmond City Public Schools,Richmond,37.537628,-77.450882,Open High School,9-12,9.0,98%,181,4,9,4.0,41.0,8.0,43.0,3.0,1.0,14.0,
68,Roanoke City Public Schools,Roanoke,37.246021,-79.991386,Grandin Court Elementary School,PK-5,9.0,32%,342,4,32,1.0,14.0,4.0,78.0,2.0,,14.0,
69,Rockbridge County Public Schools,Lexington,37.781239,-79.3563,Mountain View Elementary School,PK-5,9.0,51%,124,5,9,2.0,2.0,1.0,94.0,2.0,1.0,11.0,
70,Russell County Public Schools,Lebanon,36.979099,-81.8694,Belfast Elk Garden Elementary School,K-5,9.0,61%,84,5,3,,,1.0,99.0,,,12.0,
71,Russell County Public Schools,Lebanon,37.019341,-81.946594,Honaker Elementary School,PK-7,9.0,63%,652,3,9,,,1.0,98.0,,,14.0,
72,Scott County Public Schools,Gate City,36.622566,-82.555229,Weber City Elementary School,PK-6,9.0,53%,329,5,6,1.0,1.0,2.0,96.0,,,18.0,
73,Scott County Public Schools,Gate City,36.617371,-82.628983,Yuma Elementary School,PK-6,9.0,51%,191,4,1,,,,99.0,1.0,,14.0,
74,VA Beach City Public Schools,Virginia Beach,36.897972,-76.05954,Great Neck Middle School,6-8,9.0,26%,1183,4,13,4.0,10.0,9.0,68.0,9.0,,15.0,
75,VA Beach City Public Schools,Virginia Beach,36.803944,-76.087486,Holland Elementary School,PK-5,9.0,79%,620,3,32,6.0,43.0,16.0,22.0,12.0,,12.0,
76,VA Beach City Public Schools,Virginia Beach,36.757744,-76.055763,Princess Anne Middle School,6-8,9.0,11%,1509,4,36,4.0,4.0,7.0,78.0,6.0,,16.0,
77,VA Beach City Public Schools,Virginia Beach,36.898418,-76.147636,Shelton Park Elementary School,PK-5,9.0,52%,423,4,18,2.0,17.0,22.0,48.0,10.0,,14.0,
